iter	Passed	Remaining
0	0	109
1	1	104
2	1	103
3	2	102
4	2	101
5	3	101
6	3	100
7	4	99
8	4	97
9	5	97
10	5	96
11	6	95
12	6	95
13	7	94
14	7	94
15	8	93
16	8	93
17	9	94
18	9	94
19	10	94
20	11	94
21	11	94
22	12	93
23	12	92
24	13	92
25	13	91
26	14	91
27	14	90
28	15	89
29	15	89
30	16	89
31	16	88
32	17	87
33	17	87
34	18	86
35	18	85
36	19	85
37	20	85
38	20	85
39	21	87
40	22	86
41	22	86
42	23	85
43	23	84
44	24	84
45	24	83
46	25	82
47	25	82
48	26	81
49	26	80
50	27	80
51	27	79
52	28	79
53	29	78
54	29	77
55	30	77
56	30	76
57	31	76
58	31	75
59	32	75
60	32	74
61	33	73
62	33	73
63	34	72
64	34	71
65	34	71
66	35	70
67	35	69
68	36	69
69	36	68
70	37	67
71	37	67
72	38	66
73	38	65
74	39	65
75	39	64
76	40	63
77	40	63
78	40	62
79	41	62
80	41	61
81	42	60
82	42	60
83	43	59
84	43	59
85	44	58
86	44	57
87	45	57
88	45	56
89	45	56
90	46	55
91	46	55
92	47	54
93	47	54
94	48	53
95	48	52
96	49	52
97	49	51
98	50	51
99	50	50
100	51	50
101	51	49
102	52	49
103	52	48
104	53	48
105	53	47
106	54	47
107	54	46
108	55	46
109	55	45
110	56	45
111	56	44
112	57	44
113	57	43
114	58	43
115	58	42
116	59	42
117	60	41
118	60	41
119	61	40
120	61	40
121	62	39
122	62	39
123	63	38
124	63	38
125	64	37
126	64	37
127	65	36
128	65	36
129	66	35
130	66	35
131	68	35
132	68	34
133	69	34
134	69	33
135	70	33
136	70	32
137	71	32
138	71	31
139	72	31
140	72	30
141	73	29
142	73	29
143	74	28
144	74	28
145	75	27
146	75	27
147	76	26
148	76	26
149	77	25
150	78	25
151	78	24
152	79	24
153	79	23
154	80	23
155	80	22
156	81	22
157	81	21
158	82	21
159	82	20
160	84	20
161	84	19
162	85	19
163	85	18
164	86	18
165	86	17
166	87	17
167	87	16
168	88	16
169	89	15
170	89	15
171	90	14
172	90	14
173	91	13
174	91	13
175	92	12
176	92	12
177	93	11
178	93	11
179	94	10
180	95	9
181	95	9
182	96	8
183	96	8
184	97	7
185	97	7
186	98	6
187	99	6
188	99	5
189	100	5
190	100	4
191	101	4
192	101	3
193	102	3
194	102	2
195	103	2
196	103	1
197	104	1
198	104	0
199	105	0
